ffc8c93d4f0f,ffc9f30d9711,ffc7bfbcaa39,ffca8311cc34,ffcdd1ffd421,ffcba7e185e0,ffd3db16547d,ffd2f1eb9a2f
ffd84445e08d,ffd88fac669d,ffdb8e5a6052,ffe34e619043,ffe86d4b13de,ffea0568b208,ffee08104eea,fff2e5f9258e
fff768c42b23,fffd05da9c5c,0009b5172d8b,00081a2d6cdb,0010d9f8d172,00179b62a324,001d89c2e745,001eada28c9d
0021c86226d4,0028b872df3a,002f4859d0a8,002b963f6d5f,00365d0b8b0c,0031c336f04a,00384e974f4f,0037aac0e1c7
003abc95ce97,00386a798bc7,003bcaf25462,003a5d1d2f82,003479a6f2b4,003585fa5fc9,0032b37d3895,003401a282eb
00306079be08,002c5dc27005,00272312ef78,0024a6ba0d25,001df5d961a8,001621f654b3,00139fd9d2af,000f8d9bd425
000f8b06acf9,00057ae23f1f,ffffef91c6a9,fff834218806,fff4c99f9315,ffee9e4e458f,ffe8c973acb8,ffe410b444a3
ffe41a5e2331,ffdd44ad32c2,ffd5cf824d0e,ffd47cafd99c,ffd0b9b533e2,ffcec6c605a6,ffcca7e095a5,ffcc896c7d4d
ffcdb9ffb743,ffc7aee90255,ffca5fa6bd32,ffccb8e7aa89,ffcef8763528,ffd0ba76867f,ffd1702d5937,ffd7a8fee8b9
ffd4fc4fc406,ffd99740d53f,ffe0df1661e9,ffe55955beb0,ffe4295c0bcb,ffec93d3608c,ffee0c9d4f9e,fff8937cbcd8
fffa60e4d1a9,000123ef3086,0001cefb81f3,000a7f11dc13,000c9fabfce6,001597e59671,001a9ffc0310,001d7b94f5e2
0024d6d33ce7,002733b332a2,002c67878a31,002ad2d01fb9,003272c80cd8,0032e805f14a,0037b6768b01,003682994060
003adc8fbb80,0039ba34f9f6,003d381ef202,003680d3fed9,0034a0959fc7,00375c2f6c08,0034aa119c09,0035c5264387
002e8b09504b,002e3c6b76f7,0024ed24327d,0022c23e18f7,00213e896644,0019dc1d6e9b,0016757e3938,000c2c894f26
0008fa1bc603,000a7cfbacf6,000163fda433,fff8623610f1,fff23af41852,fff3184d2a76,ffecbb9d90ef,ffe54658aefb
ffe228bc4f0b,ffdea59958a2,ffdb0ad5f361,ffd6806056bd,ffd4491f5d02,ffd49efc3fbe,ffcb5bcd7da5,ffcfcc090797
ffcb7f3332fd,ffcdd4a97b6b,ffcc8b8d8fe7,ffcbf9129eeb,ffcb34cd51ed,ffce202392fe,ffd05d756269,ffd24d30b45f
ffd32916fa9c,ffdce77cd578,ffde8e92c61b,ffdea29b66af,ffe711f0771d,ffec1c8d121f,ffef197145ec,fff5a8a832d4
fff9b8a4448c,0004de901fbc,0007fe8c4192,0009668004d6,0010e2d2958e,001ab66749d2,001d2457b157,00219f9ae9a7
0021710e1a58,002918cd6890,002f6e3a0024,002d832c3881,002faa070b3e,003104ff51df,0037fe9e667a,003da68a8c23
0039d8741cec,003ba5ac1a50,003ac7a79cfa,00392ed0b0a5,00379882c64e,0037ee859a04,0030cb48dd19,003275575d6a
002e114999cc,002e67c761f4,0025346c0693,0020a4cd6b88,001d41324217,0019c7135e41,0011f5a55a1e,0010887746fa
000d5ee312ca,0006d111db90,fffe7088f9da,fffc46622f22,fff5d323e314,ffee658898cc,ffe7d6294a92,ffe5c52ab4a7
ffe1c7f34680,ffdb724c377e,ffd75ff46b11,ffd76dd4d9e2,ffd280e2388d,ffcdd1f86c69,ffcdd22a4a40,ffcee975d6f7
ffcebbb1367c,ffcf4e33e9b7,ffca9adc3a64,ffcc313f6a4d,ffcfc2069eb7,ffcde992cf44,ffccf71bee59,ffd1a0b540f9
ffd3c4b8c54b,ffdbc92f999c,ffdb2113ec89,ffe2b0663fe6,ffe47987d132,fff0c6b2ba3c,ffedd1b118e1,fff6c0d63793
fff84893cf0a,ffff54a3e535,00047e1095dc,000ccef2cbbf,000f64154042,00122ebb956e,001adbeeea56,001c897d240c
001f90daa88f,002736e5b3b6,002e9db31074,002d2de20616,0031e43be471,0031c6a0426e,003597b7adc2,0034f8abf046
0037504f41ab,003b87c45963,00384d85080a,003d399a324a,0039b38d77b8,00381dc354bb,00334dbe803b,0035ce6aa357
0031a42951fc,002a7a1c0621,002b36d54315,00239f3c8617,001d55423d3d,0017ef3168b6,001789b26dbe,0010be8af3c6
0006d9d68747,0006d4e2c3e9,000009d9364a,fffc96072b49,fff2f7292867,fff36680da66,ffeb5f513b5f,ffe1d79c7bc0
ffde65f89231,ffdefd78ad93,ffd90acd7964,ffd79afcc542,ffd14444ee8f,ffcc6716f96e,ffd021fe73ce,ffcc9e25a538
ffcf50859621,ffcd2c9af7f9,ffcc9a75d9c4,ffcaa65c4596,ffcb39a938cd,ffcd1787eeee,ffcf0b047659,ffd3650000cb
ffd61c355952,ffd7b9f1514f,ffdbbc113b01,ffdfec3505a6,ffe3489e85d2,ffec41c151c1,fff22f244d0a,fff5f47532a3
fff7d82b21a9,ffff4dcb431a,000987c066c4,000db3c0ad0b,001303aaa63b,00163c24dac3,00167d4f66aa,002295b9d3cd
00275f4bb8cc,002897103762,002b4235e5a6,0031f1cb9749,003355b9e8d1,00351aafafcd,00351eee041b,00367a8789c9
003945b5d737,0039d6e15b97,0039d7d734be,00393425387d,0037a4ee9e61,0039aebd65fa,0031c1e78294,00334346d96c
002d64941815,002f37fab5d5,00279f35c3c8,002320f8af75,001c6ca29d18,001affcb19fb,0015bfb0870c,0014b16f1bc5
000a9354fb4f,0004ceccec8d,00029aaf2bcd,fffde242dcfa,fff505df1720,ffece53095cc,ffecaf35d199,ffe705296526
ffdd51c8f9ae,ffdf115e86b1,ffd4dd7f9a55,ffd3db030a15,ffd171fecc91,ffd162fa2645,ffcaa77ccd6f,ffce6d0dd388
ffcdba777994,ffcbdb8a2a8c,ffcaf8565c2f,ffcd1245c87b,ffca9d04c76c,ffcf89b4e17f,ffd10a15cc3d,ffd641884a5a
ffd42bd12fe5,ffd861cb1cee,ffddc0dc2012,ffe0da0f2465,ffe55be82a1c,ffe79b80a418,fff16946f5d7,fff49583eda9
fff8362b9a12,fffc97d91752,00097d79e0f8,0007953b0d62,00120ae766e8,0015f62b3799,0019d33f5d32,002091283ab8
0025d888be06,00239721ddf0,0029cf7dd1e4,003221beddef,003025d24e2c,00324d418b3b,0035fe7a1915,00364d1e51ea
003abf394b09,003c066bfbdb,003aa5c4d9f7,003cb7e730b2,003afff616b5,0034bad4f24b,0036d6546664,002fbf6cc120
0032b5cbaefa,002b937c56ce,0025e0432dbe,00238536476e,001f48858f60,001a449683f0,0014fd0fece4,0011a89af296
000bed1a5cbf,00066b5145d9,0000b2a9264f,fffbc34c2811,fff7f9011a6e,fff5578cbc7e,ffe7e2ef715c,ffe9227fb3d3
ffe5e8c02f27,ffdd8ac63a1c,ffd907c3d655,ffd7c1b11525,ffd3bdb69206,ffd1e5481566,ffd0cefd9750,ffcd75a528d4
ffcb1b9aca33,ffcda45125ef,ffcca0defd3d,ffc8db6fdb2b,ffcad54969ca,ffcff26cc758,ffce6393e682,ffd6f192fbba
ffd8175fe2dd,ffdbd310c37f,ffe109cc583d,ffe2d47f2b81,ffe8366e7135,ffee53fc56ba,fff0f43086c4,fff4cee740fd
fff930724426,000261fc76bd,00037d1efc3b,0009c93eeac0,00107a91ce06,0014467747d9,00196140c5f8,001f9c7f0868
00256de34269,0025de120a15,002a07132e71,0031c80455ed,0034954487ab,0033e74bcad3,00395d089b4f,003b0bb969cf
0038ffd261fa,003566bba368,003750822aa5,003adbf41b6f,00361f516712,003444485930,00356e52a645,003387951207
002c544828d4,002c807d592a,00258b886027,0023fb456d91,001f10b1fbc6,001c450c9416,0014a0c7198e,000f488cc27e
0007c776d313,00047053a129,000095ea540a,fffb94c0aa32,fff41fa67c70,fff256bd3484,ffe9e3a6170d,ffe2fd78ab70
