fffec34bd41f,ffff1624678c
fff64689051a,fff7c9bdd43f
fff9502cc602,fffadfc26006
fffc8d5213fd,fffef6f30c8a
0001b44b78d7,00042da201a2
0006a67e381c,00099aaf4690
000c6aa7be52,000f720bfd37
00120aba56cf,00124140ce41
00115c04bd56,000fe1718887
000de71ee491,000c394cd6a6
000a7245b435,00086733a824
00062fd21152,00039b61399e
0000cfff71d5,fffe40dc94a5
fffbb0e40971,fff88ed01ce5
fff57f78eba5,fff23ecf128c
ffef5e00c309,ffeea4fdccbb
ffeef07854e7,ffefac15f22d
fff0dce40faf,fff20648fc46
fff3518bf79c,fff4f3042a99
fff6b7aaa117,fff84e79d326
fff9e4981f88,fffb6eb1ffb7
fffcfe1bd8c2,fffedce3f2cc
0000c6da859b,0002c3b15c6c
0004ab68abb5,0005f1ff82ae
0006ec4e8aa1,0007d48df086
00089b8038cb,000945bb3f16
0009e13d45eb,000a5733b53d
000ac554725d,000b84ee32ae
000c5ea74494,000d21227507
000ddd4ba26e,000ea252a957
000f52e742c8,001007fe0128
00109adefceb,0010988f1cd1
00104b89593e,000fdb2af7ee
000f45f8b123,000eaa52f87c
000e005827fd,000d39db6c65
000c66b028fd,000ba2494541
000add26e07d,000a1b360bd5
000956913aad,0008749b5734
00078cf4b705,0006a184f21c
0005bbd8c85a,0005061b854b
00046a6a1d88,0003c5654e4e
00032bd711fe,0002c4f7bba1
0002699920fe,00022a5f6a19
0001e8f3ae47,000133f76e3b
000053638f4e,ffff9056cbe6
fffecf9c5e76,fffdf1040eed
fffd2a641aac,fffc4dff11d7
fffba2c3b820,fffbf1fc7296
fffcb417a40f,fffdc43ce2c6
ffff09785a16,000008f3e65c
00010e100bb1,0002206ac2ed
00034b25ae97,0004f6de47bd
0006dda87cd9,0008967f70f9
000a505c4c4c,000c62ff3179
000e5d818a63,001080af2c93
001256bb5fa4,00127f9a8f87
0011e1f016d6,0010d6bc7667
000f71c50903,000e4e9ac175
000d1ad8ba4f,000bbb853d7f
000a3a193a15,00085944678f
0006450e9574,00045ddeb596
000273938cd0,00001c9e64d8
fffdd5fd43e2,fffb63708fa0
fff93ba5d348,fff8c95cfbdb
fff921142b86,fff9de8eceb8
fffaf599778b,fffbda44033b
fffcd060daaf,fffdf85cf397
ffff3e75728b,0000b7e9cc4f
00025239904d,0003c829b487
00053f760cb2,000714135c56
0008de541716,000ac9fe3919
000c7addfe0e,000cd2a32af2
000c89e9c3fb,000bf43fb906
000b16de747d,000a552e09a5
000982b2b875,000883c80a55
00076cd64d12,000642b3ed6f
000506619b9f,0003dcda9984
0002b01b0f4c,000144e7f218
ffffdc0e94e1,fffe5c398646
fffcfd3c3029,fffc6bbcdd3e
fffc381a5082,fffc34e212d7
fffc5b3c1a11,fffc65a24804
fffc77f1794f,fffca05b89fa
fffcd8a33875,fffd3457507e
fffda4d160f9,fffe06c6be2b
fffe6c3792ee,fffefcb606b3
ffff890c9619,00002abf2971
0000b2631642,000093c115ff
00002c4450b5,ffff9658c0d0
fffee1b7878e,fffe603c8e10
fffddfa71f97,fffd59cc98c1
fffcc7cc330b,fffbe66fb557
fffae245b144,fff9feb3ad64
fff91d1e558a,fff804a88ac5
fff6fe0178a1,fff5de37b5f4
fff4f1e46842,fff51d3ffb6d
fff5c9ad4122,fff6c06b584e
fff7f172d896,fff8f004b179
fff9f7c469e3,fffb18a0112b
fffc4fb10892,fffdd3b86c68
ffff7e822bd9,00010516afbc
00028bf3cb5e,000460af6f35
0006264157c8,00080a10340d
0009b32dbf08,000a110af1d6
0009d40a1a13,00094b32339e
00087c86bbe2,0007c92e2c43
0007054d0b71,0006168ebf5a
00051049d633,0003f41efb68
0002c4cc6b68,0001ab117975
00008ece0691,ffff2fa4e0c1
fffdd34a3f4a,fffc60b655b3
fffb1193f342,fffa9d0ca848
fffa8e8c4ff1,fffaaa6000ac
fffaf3208840,fffb37fa40ea
fffb88ecf442,fffbfb2fedb2
fffc7a3bbfe4,fffce426e037
fffd4c259506,fffdafe5a917
fffe156301fa,fffe97e3edd9
ffff1ee78ea0,ffffad1a1b23
0000345a9bcc,00008373db25
0000b8ad6374,0000e66ef41a
00010944d716,000127920be2
0001423084a8,00015230d0bc
00015f9a0dbf,00017fd5750c
0001a5ca4b41,0001c72839aa
0001e71a0883,0002071e44a1
000222af3c9a,00023e31d197
00025318695f,00024d6468b1
0002399df6cb,000221451626
000201d4ff46,0001dacee816
0001afeca799,00017d75f398
0001493d7065,0001247005bb
0001049b7ca4,0000e1d304ea
0000be98e71c,00009b2bfaad
00007494dc96,000050a3087d
00002861dc9c,ffffe9ff216f
ffffa29e4494,ffff51a75676
fffefd2aed23,fffeb9b6db97
fffe78bb3517,fffe3b411471
fffdfc322f4d,fffd9f91cb16
fffd374d7a74,fffcdc6ad00d
fffc83b31e4c,fffc18e5e74f
fffbb5901c94,fffb4c0385a7
fffaf5a5fb41,fffb0176f544
fffb3cb2bb8a,fffb8baf75f0
fffbf0540b11,fffc57c9c5e7
fffcc6058a9a,fffd455d4419
fffdca1cce51,fffe3d9ce60d
fffead335fd6,ffff18e9b9e5
ffff8400e952,ffffffd28818
00007e322f17,0000fc32c82b
000176170eb1,0001d662631e
0002273a8b3b,0002805dd639
0002d2373a0e,0002fc21432e
00031d23d3ec,000329ec5323
000338a0e9b3,00039e173d37
00042496046d,00049434518e
000502496923,0005894b5e9c
0005feb7f506,000685d2035e
0006e7b2e776,0006879fb2bd
0005cf37435f,0004dc236661
0003c136662e,0002dc89e837
0001f51629e9,0001042e8810
000002a3f201,fffea3933e26
fffd1a669d8c,fffbb7cd8c84
fffa56f91c6f,fff8b0fcbe1f
fff71f0e302d,fff570f7349c
fff400b12783,fff3defaccaf
fff45a8c5fbf,fff526700401
fff63a4d53e7,fff72f604498
fff835ff035d,fff966d9e3b4
fffab167b190,fffc1f85b430
fffda6a6430b,ffff16cd4224
00008a3588fb,000242d7c20d
0003f6584a0c,0005c2d69efd
000766f41c17,000818074af0
000858218887,000861c76fa7
0008386b069a,0008221d57ac
0007fed20ed4,0007bb11e236
000764691687,0006fcc1d78b
000685712306,000617719622
0005a3d71fd9,000503a30be4
000461d18557,0003ab78c271
0003077136d8,0002eb6cca5d
000309d2e0f0,000349b6fbc4
0003a0aed422,0003d0d7151e
0003fec2adda,000431500c2b
00046aef6731,0004d611e24b
000556743972,0005bd44afd1
000620a26d49,0006aba6b095
00072901e9fe,0007b6a44aa0
00081e26b7a1,0007bbc47638
0006fb553887,0006065537c0
0004e68ca467,0003e56a451c
0002dc43cd06,0001bf1c9762
00009234c73c,ffff37b2161d
fffdc5811a15,fffc69665489
fffb0d4a3d64,fff9810060ab
fff7fee1515a,fff66a66f2d3
fff4fbeb4ebf,fff45dc127b0
fff42173d230,fff41ad5728c
fff4424f18b8,fff4516c72e3
fff46d00796c,fff4a231f3de
fff4ebf90031,fff561c65d79
fff5f212f38a,fff67866655a
fff7065e3e37,fff7c1289863
fff87a7976dc,fff94d646278
fffa08f3b110,fffa1fc0bdbf
fff9f0bbe12b,fff99037f77d
fff9132b89b6,fff8d92f46c6
fff8a3b5ad8c,fff86fd92001
fff82eecf017,fff77fa1eb87
fff6a18ef462,fff5eaa61bae
fff5357782f5,fff442589475
fff366b91c32,fff269fa3f87
fff1ac25ba9a,fff245c2998e
fff37b539c2c,fff514118b56
fff6f28825f4,fff878939571
fffa0453f011,fffba3e2b95b
fffd5ff6bd4a,ffffaed45aed
0002411bab47,0004965a888e
0006e9ea300a,0009af9bb46e
000c56dbaa65,000f2dcae941
0011a2d3f531,0011fd3e99ef
00115c442caf,001038fa443c
000ea3e2d574,000d4ae0a192
000bd95044c7,000a283dab1c
00084f3f98eb,00062f807629
0003e2f04ebc,0001c4f488c2
ffffa42f413f,fffd08710a41
fffa79180828,fff7bf3db124
fff551383b66,fff4a24a97c7
fff4c5153ef4,fff54351506d
fff61f362aa3,fff6ee5dcedf
fff7d7078a56,fff9029de1b8
fffa4a9ed605,fffb787f466b
fffca9e9ee2d,fffdcebfe272
fffef7c1c91c,000063dcb916
0001d6d77886,00035c2412a4
0004cc00e72b,0005a0ec52bd
00062dd8e13d,0006a3247796
0006f95e979c,000746a1188a
000789b58d17,0007b0529f15
0007cee455ac,0008178f694d
00086bb91a8b,0008b8232f0b
00090102fad4,00094107b0d0
00097649fe9d,0009a993779d
0009d0eb7237,0009d1faf7a0
0009be27179e,00099dc97b86
000971600756,000941d4c759
00090bde880e,0008ccc91306
000887582eb1,00083e0b8df5
0007eff081e2,0007a09cfbf3
00074ddbf3e7,0006f08ab874
0006901f7369,00062b67f4d4
0005c75630ef,0005750900df
00052a9026b3,0004df0c8fe4
0004960dc0d5,0004531db200
00041108f52c,0003d3f0d1de
000395cd59a7,000342947b1e
0002e72f4c04,00028e991c4a
00023588e2c8,0001da4018ca
000182a3b1a3,000127860d39
0000d32531bb,0000a0378ced
00007c47b1dc,00006682dde1
000058542f00,00003900dbbf
00001a2eef1e,fffffaf64fd3
ffffe19a50dd,ffffeeb10cee
00000d4e4cad,000023440999
00003bb5a530,0000685484c1
000090c2ec65,0000c5f5a6ea
0000ebd74c9c,0000b05a5075
00004a6ba630,ffffcb5509c3
ffff3b505b38,fffec7ae2dd3
fffe56039c02,fffde17a7bc1
fffd68c06088,fffccc9e0b35
fffc21eb0a50,fffb8e4d295c
fffaff847382,fffa4fc3ccf5
fff9ac002a1c,fff8ff1cc861
fff872f838e4,fff88aeb328b
fff8f2e41b72,fff97d659040
fffa2d959ba5,fffae42ac5be
fffba848b683,fffc8a2d4b95
fffd77cba820,fffe4e14a8fe
ffff211d8391,fffff3cd8443
0000c8ca069a,0001b3f869de
0002a513a8f3,000398e0b0b7
00048a7f883b,000562ad621a
00062cf298c0,0006fbefe0d8
0007c42e2fac,00087056c039
000914f33727,0009a934bf69
000a3c869caf,000b0a7d8c25
000bed0c5202,000cbb2adaa6
000d8490bc42,000e5e9d45bd
000f288a6351,000ff9e9f152
0010aba06d58,0010cb024829
0010a35c180b,0010525995e0
000fde2bf194,000f789ed5a7
000f07ebefd2,000e835a0249
000dee95425a,000d37db3c79
000c6c80d390,000baa0b849b
000ae211949e,0009f49a33c3
00090823c2ab,00080a0c4c70
00071f560275,0006b7bdd81f
00068abdd2f1,00067bfd8bce
0006860a61cc,000679475bec
00066f123efe,000670463e52
000679e0e8c1,00069d7a624d
0006ce9e744e,0006f1dc534f
00071524156f,00075684e4fa
000792698087,0007db644bfb
00080e8b2c64,0007c2a287cf
00073d1c673e,000696d2ced9
0005d7698ded,000531c6f70a
000489b56217,0003d7c4d52d
00031d0d5483,00023ef0226d
00014fa9d60d,00007399354b
ffff98b7358e,fffe9883bd7e
fffda06b81a4,fffc9af4c690
fffbb29aa9a9,fffb6b597475
fffb70213a62,fffb971b1a05
fffbe03614fd,fffc23863a57
fffc6fa6d11b,fffcd3ba3aa2
fffd4189f05f,fffda70d165f
fffe0e375825,fffe6b865c49
fffec8b7199d,ffff4686f2d2
ffffc5d94d72,00004acfd76e
0000c2fac6c3,0000ea17ec45
0000e8691eec,0000e5812b79
0000d119bc70,000096cfd541
0000524e43fb,fffff271c7f3
ffff939dbae2,ffff957ff9d0
ffffbc1bf9da,ffffd0f84aab
ffffe7012c71,00000e1465ed
000024eef834,00004f6408aa
00005a53a80a,ffffb9b59708
fffece42030a,fffda7f1860e
fffc61529294,fffb66fc54c6
fffa71247979,fff97f1906b9
fff87e555619,fff6f772ce8d
fff53875f90c,fff3ae6fba09
fff22952bf0f,fff0535a7c5e
ffee9c0271c1,ffecc215c03a
ffeb3a9c26cd,ffeb65e16e0a
ffec5daaab3c,ffedc0df01d0
ffef81ca43bb,fff11484cfe6
fff2bcbcba99,fff49960d375
fff697342c70,fff8cf01a9d1
fffb2b85f36a,fffd6212b708
ffff9aa74a1b,0002374122ef
0004c93fc1d9,00077c57420b
0009f09727a8,000af83442d8
000b53279881,000b64516ee6
000b26f4ca02,000aea4c03cd
000a94ff02f0,000a0409bb10
000959a99c35,0008cff1f093
00084601cd6c,0007bd44ca7b
00072d372fa5,00066bc6c135
00059e5daa74,0004c177cf80
0003ea420ff9,000361e91261
0002fb4b8da6,00029d7b9846
00024bdd7bb0,0001f83a6349
0001a5bfa143,00015e0a285f
000117b9eafc,0000bd4f2c12
00005c3a827e,fffffc067de8
ffff9bcef452,ffff3f9db205
fffee6c5971b,fffe8f4cd944
fffe3b796bfd,fffdf1058bd6
fffdad2ad838,fffd6b2bb297
fffd2e012e9c,fffcfb7153f6
fffcce13c2a3,fffca7b2a77e
fffc84bf719e,fffc565d6b44
fffc25b071d6,fffbfef7178a
fffbdc966f16,fffbb48dd5b8
fffb92f91c75,fffb72249203
fffb5d22131f,fffb788200c2
fffbad655d5f,fffbea264ff6
fffc339e98c6,fffc8b4a17c2
fffce9d2238d,fffd56487f4d
fffdc5973769,fffe16dd96fa
fffe5e3cedf6,fffeaaacd4af
fffef7a46929,ffff4569c9f1
ffff992bda95,ffffe797e702
00003e11f857,0000bdfd603d
00014e71c622,0001f2b759d4
00029d9b4bfd,0003242732d8
0003a5ba2f5c,00041e9982ec
00049b822529,00055bf25cbb
000636d226a8,0006f8e4d4f6
0007b787dfdf,00089545eb0d
0009627305cd,000a3de17d11
000af2744e8b,000ae2e22cc3
000a76a3a7f6,0009d57a5c12
000908bc1425,000856dc7d85
00079aa8e0a7,0006c890c72e
0005e495c25e,0004d1f45adf
0003a5afd7a9,00028bacdf1e
00016ea53993,0000204ba5e6
