ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
fffdb239a74f,fffd80d7e23e,fffd62d884b1,fffd4d7aff58
fffd4180eafa,fffd37469c9b,fffd30cd4c91,fffd31eb2adf
fffd3698ba90,fffd37206201,fffd37f1f05c,fffd39e04bac
fffd3d6c6112,fffd46983c02,fffd5223ca97,fffd5fb284f3
fffd6e0cb805,fffd784ab841,fffd812fdc10,fffd8b20f2b9
fffd951bd2d4,fffd9e2965e1,fffda7987b40,fffdb05e9ca2
fffdb9ec6c9c,fffdc96397d5,fffddb7af83f,fffdecb729e1
fffdfe62eacb,fffe124751c5,fffe25a83d13,fffe3a395c70
fffe4cf03860,fffe5490e3e3,fffe56f32f2c,fffe576e5e77
fffe559df15c,fffe534a4bfe,fffe504389c7,fffe4b51f6af
fffe45e0f280,fffe4327c463,fffe41406bf3,fffe3f485d28
fffe3d5c3984,fffe3aa50410,fffe37946fcd,fffe34b4180e
fffe31b76865,fffe2e2e9f56,fffe2a9264b5,fffe2680ecb8
fffe228a7d81,fffe203398b0,fffe1e572b7d,fffe1d2f75f0
fffe1c34d995,fffe18d07ae5,fffe14aeaa6b,fffe1205ebf2
fffe0fe39a85,fffe0c9bdc17,fffe0a5af01f,fffe07fde4d2
fffe07ad9710,fffe1024838c,fffe1d1d83f2,fffe2c1a8024
fffe3d6aeb72,fffe4fd6620f,fffe63681071,fffe79041742
fffe8f9307e0,fffea48875ee,fffeb9613b51,fffecee753f0
fffee4efdbf2,fffefbf36fd8,ffff13c39049,ffff2be3e814
ffff44aee044,ffff5eed4764,ffff79f578bd,ffff95d6cd64
ffffb22f0d6f,ffffcdd3f6ed,ffffe98ca187,00000544a104
0000213970e3,00003ef6231c,00005d76686e,00007b248fe9
000098b85bbc,0000b7a3c74c,0000d626259c,0000f4f373b9
000112823c5f,000129cd80bf,00013dea3871,0001512baf37
000162e853a1,000172f4199a,000182327d2e,00018fbbf0b5
00019ceb7ea3,0001ade82df3,0001c027eeeb,0001d1773371
0001e29c1eb3,0001f42a05e1,000204e8f385,00021631e3da
00022625ba35,00022f7987f0,000235cd53c8,00023a31bcc8
00023d4d5a1f,00024259de7e,000247782f7e,00024c4b41c6
000250c8b5cb,000252ab39d5,0002536956b7,0002563ea220
00025977d1cc,0002593f41ca,000259cacee1,000259b228ac
00025c44e41b,00026cdb9fba,000284853756,00029d57d422
0002b94b5814,0002da016d5a,0002fc476a27,00032272de4a
000348ab741f,000362a4cd63,000377e527d3,00038f29a5b4
0003a5fe875b,0003ba5a8328,0003d0395fba,0003e33cc31a
0003f9731a29,000423db49ad,000456b03beb,00048f26dbf9
0004ca947560,0004fd375784,00052e4af948,00055e7e1902
00058ed23614,0005c9cb23e3,0006088a6e09,00063f147975
0006733507f1,0006b0eab517,0006ea228d55,000724db73b4
0007549bfe98,00075103fa29,0007336a48f9,00070cc478b8
0006d9896f87,00069cc72775,00065a0a51bf,00060af80892
0005b87fd117,00057b4e23f6,0005448e4d59,00050964be2e
0004cd339e39,00049000509e,00044e43fdd1,00040f17ea7e
0003ca1c34bd,000369113326,0002fc02f794,000284f04212
0002092e69d1,00019c9bbbf5,00013239dc21,0000ca28624c
000061257bcd,ffffe0be719b,ffff57a44c5e,fffedc3d2f7e
fffe64558737,fffddc2708be,fffd5c0e64b1,fffcd87b7dc2
fffc6861a26e,fffc54367347,fffc6e23f5cf,fffc9a862722
fffcdd6aef7a,fffd2b733f54,fffd838ae87a,fffdefca1ec8
fffe636b03fd,fffebf0ebc6d,ffff15489bcd,ffff70ed8d74
ffffcf6e4276,0000354ed2ec,0000a20cc6d1,00010ea93a8b
0001816e2532,0002092a372b,00029a3472e5,00033597f21e
0003d514efcc,000464e1543b,0004f2bbaf61,00057d2cc701
0006090cab1a,0006b1b5df58,000765453d14,00080aa949ce
0008acd0e786,00095fe33d19,000a0a1f6511,000ab8770eb0
000b51c95e98,000b87b67f15,000b8be8c1ec,000b7b22820d
000b51dea29f,000b1ead237a,000ae09ec406,000a8d46cd96
