ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
0004db824e17,0005d285f0fd,0006d84be8d3,0007c7b6df38
0008b158dc39,0009b48bca00,000aa9fbc6e6,000ba50ab68a
000c7fdcb54e,000cc3f1f22d,000cbc7a43f4,000c9500653d
000c48430890,000bec63727a,000b7ffcffa0,000af352bf37
000a595b2b84,0009ddb4d0cc,000966c709e0,0008e818bb4f
000863b27a66,0007cf4d54bc,00072ffb2607,00068dc426c1
0005e3a3549c,000528aae0e5,0004658eca07,00039572de9d
0002c0d79b38,0001ff32c8d2,00013f34e639,0000843e048c
ffffc68d1c07,fffedf95e6d7,fffde88a8b34,fffd022ca7f5
fffc1ecc8bcc,fffb26a1dd45,fffa3968bee5,fff945f3930d
fff86ca00cc9,fff810c0cbaa,fff7f3140324,fff7f19af640
fff80ec94e97,fff8330011af,fff864128549,fff8ae112e6e
fff904030c7d,fff94cb2468d,fff9969000e5,fff9e4a502be
fffa38449d07,fffa9dd3b867,fffb0b588872,fffb7f2c47f2
fffbf5fc7064,fffc61c31cbd,fffcca073e71,fffd3668f6dd
fffda31298c8,fffe0affc167,fffe73a6070d,fffed974cd6b
ffff4183aa10,ffffbed76e6f,0000451803da,0000c71dd2ab
000149b39595,0001d374935e,000259f6c507,0002e3f51f15
00036581eb36,0003bb292beb,0003fb88dc71,000431bd3931
00045da19a13,000489958667,0004b1a9ed70,0004d1fc1b9d
0004edfcceca,00050a2c482c,0005241e0fed,00053d945488
000554e5757f,00056438d76f,000571408ae6,00057a8b3ad4
0005842de6dd,00059b6a029d,0005b7ca979e,0005d55d51a9
0005f40c97f7,00060f94f643,000629cdf398,000644213420
00065d79dced,0006750032e8,00068b23832a,00069e8da828
0006b03a177c,0006c2fc6817,0006d4001beb,0006e42d7592
0006f15bbfa7,0006f46f8d0e,0006f1f8214d,0006ec7c18e2
0006e3c8243f,0006d9750ada,0006cd3afab7,0006be3978d2
0006ad78f224,00069d1865ec,00068be5a393,0006798609ee
000665f4cf8b,0006505bcb34,000639616ba1,0006214bb162
000608318ece,0005eeabfb7d,0005d4880e66,0005b931821f
00059d219e6c,0005814b93ec,000564e46cbb,000548441692
00052ae1ed4c,00050a84265c,0004e8a74b8d,0004c6e6648c
0004a4b11bf7,00048140981e,00045de0499e,000439ab7f62
000416328d7f,0003f7edcbf6,0003dbf84f51,0003c1535d7d
0003a7b178c3,00038cee202d,0003724ad7ae,00035818ccd8
00033e5f8e2e,00032663ad7f,00030f52eefb,0002f7b29f24
0002e0415a46,0002ca78d303,0002b497ed9e,00029f9e125f
000289c5e9b8,00026db0481b,00024ef07cf2,00022ee09ff6
00020dde1299,0001ee706da1,0001cf455685,0001afe75c33
0001908bec66,00017035e25f,00014f92ee8c,0001309622f3
0001122f375d,0000f1d46e69,0000d247496d,0000b2a2cdc6
0000950e4045,000080d5b08c,0000717cc6f1,0000637482c4
000057d0d0f9,00004f2025fe,000047c8304b,0000432faff2
00003f24a86f,000034d60c1a,0000287019cf,00001d8939f8
000012e02709,00000797cda5,fffffda2194f,fffff2ac6315
ffffe9dd2da1,ffffebeead58,fffff2ce3a8b,fffffd357712
000009a1e1a6,000011af29c4,000019633b69,00002102c0d5
000029424297,0000384aa7d8,00004a19b16e,000058041395
000065376f62,0000781f6241,00008919ac4e,00009b9093be
0000a8969c74,000099f34ce3,00007dabd386,00005cb7e42f
00003579e640,00000a768a4a,ffffdcea1f80,ffffa9814634
ffff74bcfc69,ffff4a754219,ffff23970666,fffefb70d38c
fffed354cb37,fffeaa732d79,fffe7ffba12e,fffe57147e63
fffe2c6509b0,fffdf77aacb9,fffdbea95778,fffd81f287c1
fffd4422f4f9,fffd0eaa2c51,fffcdb0dc0d8,fffca9d3b07b
fffc78d41709,fffc3bac8d11,fffbfa7a7c0b,fffbc06f6018
fffb88b38f2e,fffb4a877ad4,fffb114639f1,fffad6dc2c45
fffaa6bbdd17,fffaa40b598d,fffab8486b27,fffad7cd9949
fffb0313156f,fffb30c2f08a,fffb63b7bfd0,fffb9ffc0bf0
fffbe16cf7e3,fffc21139fdf,fffc62c5f946,fffca626eaf0
fffcec3ba5f8,fffd3a32f072,fffd8b4ef077,fffddfd30282
fffe3522d5b7,fffe821e9067,fffecc2c744a,ffff16f37d4f
ffff61660bbd,ffffabcd03d9,fffff6ed9501,000041210d46
00008c4de194,0000de29f20b,000132f335d7,000187ccc604
0001dd5ce2a2,000233886b81,00028929871c,0002dfd43802
00033534925e,0003836eec8f,0003ce65a0b0,00041657251e
00045c7a5d6f,0004a5be9640,0004ee8744c0,000536e52ffa
00057d8f708e,0005bc0fb6f8,0005f670e6d9,000631b89e37
00066bae3c23,0006a0e4b808,0006d5fb2cc4,0007077b196c
00073adbd9e3,0007800cc189,0007cc328c50,00081c438f88
00086e39b2c3,0008b8410652,000900388a1d,000946e5abd1
00098cdb1023,0009d9e6fb2b,000a28da6b61,000a70a7a11c
000ab5a3c133,000b00bd6fb1,000b4750c55e,000b8e2aa2bf
000bcb8dcfa0,000be0956912,000be0d583e2,000bd7f25c14
000bc454a048,000bab2c7bce,000b8ca655de,000b648a8a21
000b381e2e08,000b140a01e2,000af0d9b1d5,000aca690c1b
000aa1a3a5ad,000a7469562a,000a434cda13,000a10f8d9da
0009db3c3e95,00099d1f726f,00095ab0b400,00091358ca46
0008c98349c0,000884993933,00083f6f74b1,0007faab0f95
0007b46949f9,0007622382c2,00070ac03c13,0006b7e48951
00066561c28b,00060b7dce8f,0005b41dbdbc,00055a5c80f8
000507d3e3dd,0004da86c61b,0004bf829fe5,0004ab8a9833
0004a033103a,0004987a1d84,00049444c688,000497b34eee
00049db8867f,00049a258a1c,00049437a446,00048ffaa837
00048c94de3d,00048c1a9a1e,00048e0b9346,00048fe35171
000493c7b4d9,00049e8f6ba6,0004ac5e37fc,0004bdbd8879
0004d0731c51,0004dd8c8520,0004e9ecb490,0004f50c0fdc
000500adf4cd,000516a6d25d,000530970a7a,0005456e8826
00055932b4a1,0005736003c1,00058a8ef3e7,0005a358935f
0005b4bcc7f9,0005a257fbb4,00057e19c040,00055304edf6
00051f5ce9bd,0004e7358538,0004ab52a08c,000467a6f78e
0004216cbe8e,0003e5c8b2d3,0003ace97497,0003720ba278
000336603593,0002f8503fb4,0002b7b5595c,000277af8a08
0002353cf3cb,0001e91c6fd4,000198e6418b,0001443bce85
0000edf3061b,00009f349aba,000051a0a2f5,000005dbecf6
ffffb9a681f4,ffff606d84b3,ffff0268baa3,fffeaaeb758b
fffe550dbeaa,fffdf7ec8d21,fffd9f03ee58,fffd444d5545
fffcf33cd1ec,fffccf349260,fffcc1a28937,fffcbe48dc69
fffcc613c5c9,fffcd0bffec9,fffce02d7d64,fffcf8b5a8de
fffd158df610,fffd2d39b25f,fffd45295cf0,fffd5e98b361
fffd79f64fe6,fffd9bcd99eb,fffdc08439c1,fffde7437b28
fffe0f100970,fffe3342eb23,fffe562b1ba1,fffe7b0221ff
fffe9fd296e5,fffec145ad6f,fffee2919bb9,ffff020f471f
ffff2252ee6e,ffff4d3b8ee8,ffff7c5572cc,ffffa906b8b3
ffffd59e48a2,000004f0efca,0000320ccb22,000060c2633b
00008ac205cc,00009e279129,0000a6b5123f,0000a80c941c
0000a3d392b4,0000a3a3cb6a,0000a1afd5ad,00009cfa7752
000094f30933,0000828bfe24,00006a69d2be,000053e3f0a4
00003b891101,00001adbe3a9,fffff9fcdced,ffffd413f1ad
ffffb1ab2d39,ffffac3a1e3e,ffffb2d59b14,ffffbf961a29
ffffd0735ee5,ffffd8979598,ffffdf25520d,ffffe61e41ac
ffffed18dc4c,fffffada7305,00000af369a1,000012e67fe2
0000184d14bf,000027d219aa,0000337cdad4,0000407f9e41
0000435e5bfc,000015d9a35c,ffffcfd3e464,ffff82ac7f7a
ffff2a05f258,fffec62186ea,fffe5cca253d,fffde761e80c
fffd6fe91147,fffd13aebbfe,fffcc0fa4335,fffc69ae6ce2
fffc128b6a7b,fffbbd7418bd,fffb642b8c28,fffb1014da5e
fffab55a11af,fffa33dae924,fff9a271f239,fff9049fff93
fff861530d02,fff7d35a3925,fff749579c9b,fff6c32b0152
fff63cbf4782,fff598f1e3f0,fff4eaddb61a,fff44fac04bc
fff3ba158ecc,fff3106d0466,fff2726dddad,fff1d0bae702
fff149858f08,fff13b98f2b6,fff16ac31a96,fff1b41e3d5a
fff21bdb7d7b,fff29048efa6,fff31270f8d9,fff3aee7d49c
fff45670728a,fff4e5fe24e9,fff572178ed9,fff604bc0ca9
fff69c40f677,fff740ddad66,fff7ee7d03c7,fff89e9beda3
fff955458aaa,fffa19b32b69,fffae4cdc60c,fffbba8a7fb4
fffc93f571e4,fffd5decbb87,fffe2688205f,fffeeafa5806
ffffb1989b33,000099d7fb2c,00018f1c0e56,000276c05a60
00035bd3476e,000451740e83,00053df13b82,00062f4e784b
00070b2f5ddc,000780f27d70,0007c3f8d6a3,0007ef668905
000801947636,00080e926dee,000810d02a01,0007feb596d9
0007e2416831,0007cde1a3d0,0007b71cbef1,00079cc3d025
00077d3e396b,00074de24fbe,000717babc45,0006db337fcd
00069c4eb5cb,00066a1ed059,00063bf2a29b,00060b22bffc
0005da16986d,0005aa043bc1,000578557c18,000547f46910
0005152ddc01,0004d39a57e2,00048b3c8460,000443dbfce3
0003fadaf881,0003ad373493,0003605bae59,00031078ee4b
0002c4275c74,00028ecc2c27,0002641a2f06,00023ddf21e5
00021c585ce9,0001fa398a8b,0001d9637dd5,0001bc0f7919
0001a035d3df,000182ae6dce,000165479276,000147951bd1
00012a50c002,00011067328c,0000f7300091,0000df2a2e8f
0000c6a4538e,0000a7e69944,000086961de3,000064880009
000041aee9af,00001fa1640d,fffffdd05e3f,ffffdb9dc8ee
ffffb99dbbce,ffff98af7ae6,ffff785d8dbc,ffff58bd0252
ffff39aafb10,ffff1a83e82a,fffefbea20c4,fffeddb0753f
fffec0555a00,fffea54841da,fffe8b9540ba,fffe73348b5e
fffe5bd45c43,fffe4431a74b,fffe2d3c6826,fffe16e98cf5
fffe0195ce94,fffdeefc9a9d,fffdde0613a0,fffdcd6e860d
fffdbdbdefce,fffdafb261ef,fffda23669d7,fffd9635cd03
fffd8a4af87e,fffd7a86321f,fffd69a17235,fffd5814b380
fffd469dfc61,fffd3845afab,fffd2b0e7bea,fffd1ef48f83
fffd1376b0c4,fffd0548026f,fffcf6947321,fffcea603bc2
fffcdf5b3c68,fffcd32f44c3,fffcc8ee6b41,fffcbec9fe9d
fffcb8018b2e,fffcbe4f0bed,fffccb5746be,fffcdc829a56
fffcf1609b40,fffd05ec9682,fffd1c2cea62,fffd34ed856e
fffd4fc5e898,fffd6dce7250,fffd8e2cd25c,fffdaea7ee2a
fffdd0616ec9,fffdf5f527c3,fffe1c545c58,fffe44e5cf38
fffe6cd02892,fffe8b609f91,fffea63840f8,fffebfaef775
fffed8126bac,fffef2d6d2e9,ffff0e42fb0b,ffff2969c316
ffff44d722a7,ffff6007f650,ffff7b489654,ffff98dc0809
ffffb74dccd9,ffffd2ea5562,ffffef64f1aa,00000bbd393c
00002a89a432,0000551c6e61,000085bfd7ec,0000b72bb34e
0000eb451744,000124234a90,00015e667b58,00019c249fc3
0001d9b57b6f,00020b2d7ed8,000237d2c3b3,000266410e2c
000294030278,0002bef7911c,0002eb210ea0,00031413e1e6
00033fe66ff9,00037fa31d1b,0003c767d4e1,000414ae7a59
00046481de7c,0004aa6ba968,0004ee3c312a,0005306649c6
00057250eeec,0005c0058789,0006119a4b0f,00065a44c30f
00069ffc6d13,0006eea6ac0f,000737da5bca,00078247ca56
0007c08a76d4,0007c83cfb69,0007b438af8e,0007949936ae
000767136155,0007327dc717,0006f755bbf0,0006afc0d072
000663228de9,000623788172,0005e6246f35,0005a50f9366
000561a5e233,0005192e2238,0004cc22a501,00047e72c69f
00042cb2ad67,0003cee7145c,00036b6da2da,000301a1c6b9
00029506e297,0002309d2928,0001ccc4c279,00016a586f6f
000106a68f35,0000926afbbd,000017a6f8e5,ffffa46a307c
ffff3295a201,fffeb6d34a48,fffe3f9e5280,fffdc5c89d0c
fffd575ff6c3,fffd204e75b0,fffd04d22986,fffcf4938518
fffcf1c73095,fffcf4d77451,fffcfdd284b9,fffd12b12558
fffd2c2f183d,fffd38ff1710,fffd43605bfd,fffd50e171d5
fffd6064e41a,fffd751f3283,fffd8e0c784e,fffda7b87029
fffdc4e8c48d,fffdebaa5176,fffe17078ec2,fffe47ee2901
fffe7b42d150,fffea78faf49,fffed3847dd2,fffefe50832c
ffff2a6fd88f,ffff6591814c,ffffa6d29e1d,ffffe1a25677
00001b8c4b23,00005edf239b,00009e9d0b22,0000e11964fb
000119e65c4c,000121cebdd4,0001118db8c7,0000f86e5ea5
0000d3f0510d,0000a975e232,00007a3dd27b,000040a14e1e
000003f20e9c,ffffd6cde512,ffffae19d467,ffff82e20d46
ffff56f1011e,ffff28519a78,fffef6776d99,fffec5e59e08
fffe92173712,fffe4feea3e8,fffe07d8bff4,fffdb9a9263d
fffd69496f9a,fffd23b69cd6,fffce00081bf,fffc9ee0bd11
fffc5d5f72c0,fffc0a4b8763,fffbb0dc1c73,fffb60eba0f0
fffb13803607,fffabbb95d77,fffa69f7eab9,fffa15e6006e
fff9cf8ce203,fff9c8dc38e5,fff9e210ac86,fffa0931bfde
fffa401e5c04,fffa7ca5401f,fffac01aec3e,fffb10f056e5
fffb67981516,fffbb380d1ef,fffbfe4e1506,fffc4bf6994b
fffc9c24d9ca,fffcf3ebcd6f,fffd50137e70,fffdae04ff80
fffe0e93cd9c,fffe71bcc95f,fffed6593165,ffff3f57d816
ffffa970eb47,00000caac4f5,00006f4438e5,0000cf7c3d7e
000130b1c447,0001a233cb85,000219fc39ec,00028be911e3
0002fcce5654,0003747b15f0,0003e7e82034,00045d99481d
0004c9ae7e73,00050876d6b8,000530d5f7e5,00054dc779c4
00055f6c208d,000570d9cd3a,00057da31df2,000582044249
000581379faf,00057e9d3bfa,0005788d2ca7,000571c67c79
0005683d2b56,0005556aed33,00053ff5f59a,000525ef4fd2
00050c6602a8,0005038f2d40,0005011c2b2a,0005002166e9
000500a02e6e,0004fd9b1d4e,0004f92150f5,0004f51ba5c5
0004effec377,0004e81bb12a,0004de800b5f,0004d1826871
0004c296132f,0004b61e3763,0004a80c8256,00049928c681
000486f6003a,00046821ef98,000442603489,00041b175736
0003f04b79dd,0003bfa937ab,00038cc84e45,00035586ec8f
00031daf8883,0002f1b3d724,0002c9fc84af,00029f921421
000275121b88,00024cd5f0b7,0002228ed55e,0001fae4340d
0001cf646388,00018df52b2a,000143315f0a,0000f1e25c0c
00009d14c6ee,000051ca3408,000007e9ddae,ffffbeea89f9
ffff757002e2,ffff1f331c8f,fffec4485bf9,fffe71f39dc9
fffe21fc010c,fffdc7ddc116,fffd72ad71e2,fffd1b8a3808
fffcd05882a7,fffcbd39e6f3,fffcc649dbb2,fffcda7acf00
fffcfc717d44,fffd25b39280,fffd55301adf,fffd9128dc4e
fffdd192f579,fffe0250a397,fffe2f542f5f,fffe5fd7d583
fffe920eef24,fffec877993a,ffff0334f36e,ffff3d8fee3c
ffff7c040009,ffffc95fcb44,00001d489a5c,0000783c2eff
0000d605f8c1,0001290fc069,00017ac25f1a,0001ca31b693
00021aa09f34,00027e8ca77e,0002e9de4f5b,00034bb819d5
0003ab71fa1e,0004167f6364,00047b9db734,0004e3a6ce52
00053d98349a,000554a36391,00054a5c5892,0005319260a6
0005086963cf,0004d9fbe378,0004a48c1637,0004615d694a
0004183189c9,0003d9bcbd81,00039c4a4304,00035c1d7ec4
000319612b56,0002ce8def3d,00027f546494,00022e1109e7
0001da5ed947,0001858bf3ef,00012fdc2312,0000d6333ac2
00007ba0cfcd,00002730ef77,ffffd33f2bf5,ffff818a2260
ffff2edcd5ed,fffecce85c12,fffe6504c470,fffe02856ec3
fffda0e4938a,fffd38c65096,fffcd47a17a8,fffc6e0db1be
fffc10742410,fffbdcd5b189,fffbbe07e8ed,fffba93f20cd
fffb9edf70d0,fffb95e96f17,fffb9155be10,fffb94eba200
fffb9cfc6107,fffba39e7e60,fffbac187471,fffbb5cf022b
fffbc1dbf26a,fffbd53008bc,fffbeb3b2a7c,fffc048fbb66
fffc1e6bdcf1,fffc2f725d87,fffc3d640f51,fffc4b837cf9
fffc594e8e73,fffc686b966e,fffc7896e305,fffc88811dda
fffc997b3936,fffcaead4751,fffcc613fa6b,fffcde94b2f6
fffcf8477711,fffd1272fabd,fffd2d3d03e5,fffd4916f3bd
fffd658491d1,fffd818ee6d5,fffd9dcf0ae4,fffdba418d6a
fffdd716bd7a,fffdf51f4185,fffe13b3eea4,fffe32d599ec
fffe523f5278,fffe70c09c33,fffe8f0e356c,fffeadfcdfbd
fffecd28bb4c,fffeec0621cd,ffff0b4cec3a,ffff2a58fe10
ffff4a14699a,ffff6d24b27c,ffff91ab3952,ffffb7430ddc
ffffdd6f69bc,00000235bfd8,000026d0c864,00004b4476e7
00006fd14254,0000966fd68e,0000bdc88c7f,0000e3eb2f1e
000109aab346,00013091e71d,0001569753ba,00017cd22a3f
0001a12cf3eb,0001bd632b38,0001d57b1f6c,0001eb4059b4
0001fed132cf,00021260a793,000224e9c7ee,000235d30d00
000245846430,000253fd0ca4,000261508ed6,00026e5444fc
00027a8984b4,000284aa5a9c,00028e1d3a8b,00029645c5b5
00029e657c1b,0002aa52bb63,0002b787f950,0002c520af37
0002d2d668fa,0002decdb021,0002ea11a43b,0002f4e99638
0002ff4dd760,00030a3d15df,0003150ccb3e,00031e650e07
000326f3f287,0003302c0251,0003385e39c5,000340565370
00034684ab8d,00034605b146,0003420173a3,00033c138dd5
00033434cacd,00032bc658ad,0003225733fd,0003175c2f52
00030b651ee9,0002ff4d4b20,0002f2a214f4,0002e5916917
0002d7ead0f1,0002c8db1ecd,0002b92f572a,0002a8d392ee
000298437d57,0002892647c8,00027a8376b1,00026ba8d358
00025ccfbc2f,00024dfe2296,00023eff25f2,0002302aa670
000221184cd9,0002108bc5e4,0001ff595136,0001ee0ee3f3
0001dc9737d4,0001cb2370c9,0001b9d1249a,0001a83e19c7
000196e92df5,000186df5bd7,0001775db4a7,000168cf42c0
00015a99e4ed,00014adebd8f,00013b24b03d,00012b31090a
00011bc86995,000110383370,000106708caf,0000fc1663f3
0000f2276fd2,0000ea0a446e,0000e1c00f29,0000dadb4ceb
0000d2ea00b2,0000c2d4bd5e,0000af6de8ce,00009a16d8cd
000083ae0e21,00007081c30e,00005e03e734,00004bd156bf
000039b776b3,0000246b5575,00000e180087,fffffabef4d9
ffffe867af24,ffffd2e93571,ffffbf1a5e2b,ffffaaeee231
ffff9aac714c,ffff9c1fec0a,ffffa69a14cc,ffffb471bb0a
ffffc6bdef1f,ffffdc26d604,fffff3b8f862,00000f8e27fd
00002cc20c28,0000438b497b,00005892817b,00006f1fda9c
0000863579e0,00009e05391c,0000b76fb807,0000d05158e8
0000eb16dc5a,00010e205e24,000134c8b8d1,00015e8e5102
000189d13c8a,0001b0a5a95f,0001d6ed5c14,0001fc9477ef
0002229b4195,00024fd1c4a5,00027fc0f55c,0002ab9dabaa
0002d67d5c56,0003065c923e,000333d9873e,0003626b66df
00038b250c27,0003981e59c9,0003972a31fa,000390c2372b
0003838e5cc5,000372b407ab,00035ec46098,000344a09ef2
000328495271,000313d2a9fe,0003013c6c80,0002ecd2cc70
0002d785f60f,0002c0335e03,0002a6a7e054,00028d433697
000271b0ed63,00024e3aa1e8,000227385c2f,0001fc9cbbc8
0001d067dbbf,0001a93ece92,00018296fb95,00015cc82659
0001365c0403,000106a4b8c5,0000d34b83b4,0000a47d2ab4
00007697661d,000042c638a6,0000119d61de,ffffdee9d577
ffffb2e5f37c,ffffa76b5d14,ffffac1e6ac7,ffffb73aa23b
ffffca20814a,ffffe092920e,fffffa5a326b,00001b07bb32
00003e27e204,000058f3590e,000071ca6e55,00008c43ba75
0000a793efd2,0000c5805c8d,0000e5a150cb,000105a735ef
000127899706,00014fc0ca30,00017ab26447,0001a8eafba9
0001d84741a8,0002022ff65b,00022b4902fe,000252ff5fc0
00027b0db29b,0002ace87986,0002e262a8fd,000312f91dc2
0003425afe60,0003773cce90,0003a8fba0e1,0003dc02bb09
000407cfe0ec,000411efcff2,00040b2c3666,0003fd14da25
0003e69a4513,0003ccf89ff1,0003af978efd,00038b06fba8
000363514058,0003417e9a1b,0003204803cd,0002fd4b968c
0002d8d756c4,0002b08136b3,000285aaa30d,000259cc24c2
00022c33dbc1,0001fc021ec6,0001ca57b44c,000196275677
000160f87052,00012ec7af64,0000fc9d2f62,0000cb1ed133
000098ecd88e,00005f338ed5,000022674c93,ffffe879202d
ffffaee4550b,ffff71254c79,ffff351e1859,fffef7dca31a
fffebf22f689,fffe9cf32c07,fffe85f86f8f,fffe7349ba76
fffe66016c97,fffe5b8267ac,fffe5367ac2a,fffe503ff2f6
fffe4ed2a055,fffe47029f35,fffe3da9bd5d,fffe35ce32d7
fffe2eadb8ce,fffe2926dd10,fffe2572bb9b,fffe21b52724
fffe1fce7c15,fffe2468f8bc,fffe2c0afc44,fffe3686c75e
fffe4275e46f,fffe4afa1844,fffe5353f450,fffe5b68212f
fffe641bf947,fffe735682f8,fffe85460a5d,fffe93f218fd
fffea2212d1c,fffeb54f529d,fffec6e3c2b3,fffed9c534a1
fffee7febb57,fffede50c35d,fffec8c5cb66,fffeaf9fcbac
fffe910622bc,fffe6e06c0f2,fffe48aa5e36,fffe1dd15307
fffdf1f29b78,fffdd1a91f3a,fffdb558df7c,fffd973ef55e
fffd79324618,fffd5b82b86a,fffd3c099178,fffd1e87f186
fffcfe68b797,fffccf60a451,fffc9a383073,fffc6033fded
fffc2411992b,fffbf04d453c,fffbbe179e08,fffb8d655581
fffb5c9b1cb0,fffb203b5240,fffadfc7a3cb,fffaa6e1b95a
fffa702ffdce,fffa313ecf52,fff9f6d5218d,fff9baf1a64e
fff989884807,fff988740050,fff99fc3387f,fff9c0ddebd6
fff9edfd99ff,fffa2179ba1a,fffa5a7bb0a0,fffa9e5ae2d9
fffae63bf705,fffb210ea311,fffb58f0e036,fffb93f040e0
fffbd08eddc3,fffc11038ded,fffc554caf66,fffc9973c0a9
fffce12b795f,fffd354dcd5a,fffd8ef55893,fffdeea52acd
fffe50c90d30,fffea9ee093c,ffff02072f00,ffff583f66e4
ffffaf6403ae,00001734b7f1,000085622cd1,0000eba2d841
0001502779a6,0001be3a741a,0002274e0f79,000292e3ba5f
0002f294e51a,000319c231bd,000324cd26ef,00032379cb1b
0003144e08b7,000300eb9ea0,0002e79da461,0002c2c0dddc
000298bcbb90,0002771c5581,000256057e90,000232acdd53
00020d10229a,0001e055695e,0001afe0c52a,00017d6f01a3
0001490996f9,000114d8331c,0000e0584150,0000a8c1d07c
0000707b9b74,00003cb41960,000009237ac2,ffffd747c81b
ffffa484283e,ffff6585af08,ffff21af2e2c,fffee1cd27a8
fffea265c1d7,fffe5dea9db3,fffe1c3c53f2,fffdd8c1cc23
fffd9be9766d,fffd7f30e777,fffd7253f877,fffd6d06cb58
fffd6f974b2d,fffd731cec7a,fffd79e0772d,fffd86c7ed74
fffd97014f78,fffda603ca6a,fffdb651a8ee,fffdc77d5e7b
fffdda581ca2,fffdf2977b60,fffe0ccd8200,fffe296d39bc
fffe465e36cf,fffe5c93aff0,fffe706810fd,fffe84297bfe
fffe979667ef,fffeac3d579d,fffec1a2c473,fffed6e3806b
fffeecca7606,ffff04fcef6e,ffff1e7186bc,ffff38b5e295
ffff53c14592,ffff6f080ea6,ffff8ad3c5fc,ffffa7243db7
ffffc40986eb,ffffe1c89a1a,0000001509c5,00001f39bba7
00003ed1412b,00005dce3dfa,00007d00edec,00009c37e225
0000bbdd9d37,0000ddd74a14,000100e7dc56,0001239926c6
0001467eaa99,00016a7c1842,00018e46479d,0001b2b4fb93
0001d65071b2,0001f4c77d2b,000210eb18cf,00022bd58d6e
000245bd9909,00026085d58e,00027b322142,000295491768
0002af09a4ad,0002c7f38345,0002e04c20c1,0002f999c4d1
000312e2b374,000329b42429,00034079bc81,0003569e2300
00036dbd4da9,00038bdcf0e7,0003ad5d1519,0003ce603f58
0003f080a561,0004160f1448,00043c00e2dd,000463e93968
00048ae14351,0004a716c836,0004be92405b,0004d6fb6164
0004ee318c5b,0005022ea457,00051695ca78,00052799dfde
00053a93e72c,00055e7f0d54,000588f29a4d,0005b7c245cb
0005e85725e0,00060fbe97fd,000634e32768,00065825093b
00067ad267ec,0006a7a31fe6,0006d78fd2aa,0006ff703e0a
00072472e0a2,000750c9b4ca,0007780660dc,0007a01fb243
0007bd59d063,0007aacbc2cd,00077ff285e7,00074a51f5d4
00070863654e,0006c1496919,0006746fac3d,00061d0158a1
0005c0d55b0a,00056d1f2b82,00051a30fd41,0004c47e9d2e
00046c918b88,00040f0d959a,0003add319d1,00034b3b1a58
0002e60b8f4a,00027c6cdec2,00021082e7b1,0001a0958e53
00012f45311c,0000c37f9bc1,0000581d88c3,ffffee4c1138
ffff839ad3de,ffff0c2c9356,fffe8fd07dbc,fffe186c7447
fffda1f962d0,fffd259b5ab2,fffcacb68686,fffc32188409
fffbbf838497,fffb72a1bb89,fffb388e027f,fffb078b33ce
fffae00ca5ee,fffaba433da6,fffa98a96a22,fffa7eae13f1
fffa68ee4104,fffa51aec090,fffa3c292b25,fffa28314ff7
fffa169ddf7f,fffa0b9a4ec1,fffa036adff2,fff9fe633170
fff9fa679afb,fff9f02f0abf,fff9e42f27e8,fff9d8f2dbe4
fff9ce0fc0ff,fff9c4bf6737,fff9bcd448f8,fff9b552c897
fff9af381c3b,fff9acf9d265,fff9ad0d7f4d,fff9ae5cb4b8
fff9b12782ac,fff9b55d77bd,fff9baacda5e,fff9c1686d09
fff9c908209e,fff9cfea879f,fff9d6f8bf0d,fff9df494e2e
fff9e85154e9,fff9f133d941,fff9fae6b4e4,fffa04ebf11d
fffa101b3ded,fffa1f796860,fffa311d7c39,fffa4328623e
fffa564815c7,fffa6b39de28,fffa80af6f0f,fffa97d43519
fffaaee034ef,fffac0ce30af,fffad1028a1d,fffae05d8dff
fffaef877622,fffb01b03d0c,fffb14df84f3,fffb28ce2053
fffb3d413ea5,fffb4f8c768d,fffb6162c1b6,fffb75e316df
fffb8b795e20,fffb9edbad8e,fffbb3ca8458,fffbc8ab8b25
fffbe0c5fb7c,fffc06d43281,fffc340ff2a8,fffc63dcf1a2
fffc9731ad09,fffccd560d2d,fffd0532b56c,fffd407d7ef1
fffd7cb6973d,fffdb2f47bff,fffde757daa2,fffe1cdeedc7
fffe52966b8b,fffe8887576f,fffebf9de706,fffef5c960fd
ffff2d660f88,ffff6ca58d2d,ffffaef8e67e,fffff4190c45
00003a3ebb48,00007b2ea1df,0000bb1976f6,0000f9bd689b
000138638a89,00017eca7dba,0001c7d690b0,00020c6ca827
00024f9d8425,000296fbf6f8,0002db4617de,0003205efdb7
00035eeff822,00038087d6ca,000393885a3e,00039f2e2e7c
0003a351e637,0003a64bae32,0003a5ec1e5e,00039fb4b29c
0003960dadbc,00038c86ebbb,000381381454,000374eab300
000366bdf376,0003531f8c77,00033d7f42f5,0003254bca35
00030cc15ed0,0002fb4d488f,0002ec5dc900,0002dd69cf81
0002cecec4b8,0002bf206ee5,0002aead3b73,00029e8550eb
00028da1b3e8,000279aca432,0002642db018,00024db722f8
0002366bfb1e,00021f62fc19,000208067688,0001f00b55a1
0001d7977ea4,0001be571f8d,0001a46f0f3a,00018af1813a
0001712436b4,0001553906de,000138ee3127,00011bcced59
0000ff009303,0000e6eb101c,0000d0db865c,0000ba157220
0000a3b34268,00008ef7acf9,000079e3a711,00006668576e
000051beff0e,000034165dce,000012e437be,ffffef2f6051
ffffca6d528a,ffffaa9414ae,ffff8bd10869,ffff6e0fd1c8
