0023a9f717,00199cab93
00227d75de,0013af5404
0012ac483b,00075af0fb
00056777e4,fff1614b48
fffc5665e1,fff78d937f
fff6948c83,fffa875985
0006ffd290,000bb6ba39
0019a3bd66,0019d8f81e
001a82806f,001ec8c1c2
00194c766b,002280bb38
00139586ee,0006a78a22
0000d3563c,fff95a0bd4
fff4877754,fff3aa3130
ffeeaabab8,fffcf881cf
000641e495,0009235cc4
00120e4c40,001c9ddcc3
0020d9b969,001e810e62
002321d9b2,001c0520c1
00126370aa,fffec543d3
fffeac214d,fff7e4855d
fff1775632,fff98cc1f1
fff24bd13a,00016902ee
0001fe3e4d,000fc2b3ce
001c0e92a9,00141754cc
001f359d65,00239a8f24
0017d0bfe5,0012852bd6
000e2199e6,0001e241ef
fffaa7d867,fff94b2ab9
fffd090a2a,fffb3675d9
fffb3baa49,00023d2a7c
0003d7626c,000acba8f6
001d274e7d,001cdc1248
0022456c0d,001e1a93c5
001fb2f508,0012475f0f
0010991b71,000866dae8
fffa1e4563,fff8d302d9
fff0cddc90,fffd219c11
fff865f3c4,0003ff33aa
0000e0476c,00122dddc1
001a96d282,0020b4bdc9
001dc05fec,002132f56a
001e6f9c3a,001e47dbc7
0013f59af8,000547ea0e
fffb63d6e2,0001c13ef6
fffcd43359,fffa79f0bf
fff916d05c,fff99f6780
000328bf8c,00159151f2
0016b4b31a,0018e1a351
001a209fa4,001a5c5d27
001a586ed4,0018521774
00181e7eaa,0003d8a255
fffde6c3f9,fffa392a0a
fffa56ae69,fffdc448e2
fffe02687b,fffc60818e
000410baf8,000eecedd7
00102a250f,001cf57fae
001b8b46d5,00225d66e2
001cadd123,0010b46827
000ae28f74,0009f222ba
0007cfcd95,fff68f39fc
fffb5069f0,fff2301ef4
fff4e8614f,fffba9ff76
0003d1bd20,00109e6002
00187608e8,001f2978ae
001af17177,0021245998
001d76cb03,00198462b8
00107fce0b,000c037c27
0000b18f57,fffbc0faab
fff403889c,ffecdbab20
fff7862316,0002bc2866
0008cc19dd,000f851dbd
0017bbb50b,0018d92b81
001f1a9478,002438f018
001b9929af,001a44b71b
001033e114,00065a9c09
0001201153,fff98834f3
ffff68af56,fff486cac5
fffdf7ad34,00026d48a2
0009518ac6,000ee25735
0019690846,00186591ed
001abdbc67,001edc154e
0022048769,0012350338
0004e6e54b,000afc9d84
00005bdb1b,fff6fc5753
fff0f448fa,fff2a99d85
fff29c6c7a,fff93ef1ba
0003ec01b2,00112bc2e2
001b03c79f,001d70ac9c
001fa299a0,0029f7d03c
001de35a39,00192a2483
001670f4b4,000f0602c1
fff9aae642,fffa1653ab
fff739539e,fff009454e
fffb439034,ffff4706db
0008fbf660,00123c234c
0010d156fb,002037bb0f
00177600c1,0019de2ac1
001c97b3e4,001332dbac
001574eabf,000ebd99fa
000501b07a,fffafa2999
fff49689e7,fff419cef3
fffcc92147,00010d7e3f
000495384a,0008467189
001505508e,00276970c8
001d6c9c1d,0018b84846
001d733693,001c8876d7
00192f74c3,0007a91c3e
00011eff0f,fff7887580
ffeca53205,fff5fa6d60
fff9a3c04e,fff765f418
000ac7daf9,0010944822
00188aa0ec,001e767d4d
001fc188b4,002209c286
001c6695a0,0017b2c5d1
00081394db,0007d74e37
ffffbb6206,fffb66cf6f
fff8b89615,fff60f3411
fff9095a75,fff961edcc
000af42dbc,0013e1c7a2
001e912190,001dd12e14
00250b6c22,00170e61fa
001a7ef81a,001c06fa9d
0010f8c22b,00067f75ca
fffcd681a5,fff667afb1
fff1c6f006,fff42139e7
00025819d8,fffff878b7
0000a30507,001085ceee
001be04e0b,0020f8ba31
001de77920,001d796a53
00271cd87a,0018ac0939
0013f0e1be,000580a4f0
0003cc1a4b,fff1ee4929
fff6108339,ffee2bc3fd
fffb92e9be,ffffeb6ab9
00042765a2,00125078e0
00190ed5bd,0023002e90
001e966baf,00239671c0
0026f11528,001a4d56a2
001324570e,000714bc77
0003aba5c6,fff978dfc6
fff2e81d55,fff85656e3
fff4585324,ffff3cdfca
0009709686,0013737c76
00121bba2f,0021ff7090
002343d25a,001ebb84a3
001ff97028,00187095d6
0011fb78b8,ffffa0fa3c
fffcb633fb,fff2fb9db3
fffd86f5f8,00002920f1
fff8a4aa32,fffd88e88e
00048022fc,0006ebe075
001715f4b3,00194a5201
001f82b28e,001e429d8e
00215b5232,0018a8fe08
000fd0345a,000fd76216
fffc70ab2f,fff9bdba04
fff59c5c64,ffeccbece9
fffd67f90d,fff97d0062
0006ab18ff,000d58781c
0011826d92,001798ddda
002a9caf59,0021c6aa7d
001c93cfa2,0011967a80
0011a15c05,000005f74f
000029675c,fff9cae27d
fff48a86b0,fff3a794b3
fffc5c4268,fff928831a
00078d98ca,000ceb3428
001ddfc318,001f7c259c
00235b5ed0,0025d27543
0021402968,0022ef00c5
0012e3647d,ffffa168fe
fffd63979f,fffb75ef60
ffea866898,fffa450c2e
fff3bf9d74,ffff0e0ade
000906b528,0010767827
0014691cbe,0019d10639
00195ac751,001fa9c963
001a940abd,0016c3f744
0013a57a4a,000a390129
fffbc83e63,ffedd90b5e
fffb8a73fe,fff42d1edf
fff75e2b04,0005a5481b
000152696e,000cffd0ec
001b4fe84c,001abbbf08
001b5705fa,0021a16e44
001f821ebc,001935916e
0014b47f5b,0003d8f8e6
fffbc0821c,fff7447297
fff9a8395b,fff8d25565
fff8c01202,fffaaf43f5
0006971416,000919698a
0013602a24,001c907aa0
0021c115fb,001b0e3b58
00254b158c,0012379d26
000d98b8cf,0007e39294
fffe294e76,fff74e6b3a
fffaf069e8,ffef3945a9
fffb587d4d,fff9240a61
000b9029d4,00075ab989
001957acce,001876698c
0026d61d2d,001e954ad0
002145955d,001fd81c01
0012edc37f,0007033d81
000770fc6c,fff9d92db3
fff5570bb4,fff1ad45f1
fff2d8694e,0004262925
0002a83f2e,000aba8551
00095bc54d,001875f3dc
00247b917c,00261657b0
00191aad75,001f96f9f8
00102f58dc,0003560e55
fffcbf9c20,0003cdc91d
fffa097f3b,ffebdf5d87
fff4a26375,fff98b1045
000d0ed7b2,000e715a8a
001c790cf2,0018cd2961
00223b1b9f,001f1f0cb9
0021852a0d,001a913875
001289963b,000c3168ef
fffd420f4c,fff56836d4
ffedced4b3,fff3ed48e3
fffa195292,fffc3040bb
0007f5d1a3,000ce1feb6
001692f26d,0016457f26
00235eeda3,0024e967e8
001e887768,0013338c65
00096487bc,00054c4c04
fffb5f29d6,fffb198d9c
ffedf13604,fff934c3e4
fff847b22b,fffc6a4a84
000a31e1f9,000d5f893a
0015c0b356,001b06e301
0021496037,0022433338
001b010caf,001b7c1b91
0009ab880c,0005e041a2
fffe9691e8,fff8dde5ce
